"964-1" "964-10" "964-11" "964-12" "964-13" "964-14" "964-15" "964-2" "964-3" "964-4" "964-5" "964-6"
"100217429" 34 4 17 19 9 19 5 27 4 22 14 56
"100226" 11109 4699 9699 10877 4966 6020 8667 22278 6685 7799 7431 35577
"100233175" 1327 474 985 1161 493 577 822 2294 750 771 834 3385
"100233207" 9 0 8 0 1 2 1 8 3 3 4 7
"100233208" 854 331 801 836 362 486 652 1711 476 581 519 2307
"100270744" 30 3 23 28 10 13 22 59 25 28 12 144
"100271704" 1 1 2 4 3 2 3 3 1 0 2 4
"100271882" 989 415 820 821 399 587 845 1959 440 602 655 3307
"100271928" 6 2 10 3 2 6 0 9 3 3 1 9
"100273" 15703 6509 13673 16286 7609 8622 11990 28948 9253 10486 10330 49474
"100294583" 8 3 1 3 0 5 3 7 5 4 3 8
"100294660" 0 0 0 0 0 0 0 0 0 0 0 0
"100302688" 0 0 4 0 1 3 1 1 1 0 1 10
"100302730" 4987 2022 4144 4270 2124 2355 3641 9548 2775 2690 3191 15499
"100303732" 79 16 52 29 22 41 31 93 47 51 29 92
"100310872" 2354 1155 2415 2111 1219 1297 1947 4513 1283 1756 1372 8057
"100312470" 0 0 0 0 0 0 0 0 0 0 0 0
"100312471" 0 1 0 0 5 0 0 0 0 0 2 8
"100312473" 0 0 0 0 0 0 0 0 0 0 0 0
"100312474" 0 0 0 0 0 0 0 0 0 0 0 0
"100312476" 0 0 0 0 0 0 0 0 0 1 0 0
"100312477" 0 0 0 0 0 0 0 0 0 0 0 0
"100312484" 0 0 0 0 0 0 0 0 0 0 0 0
"100312485" 0 0 0 0 0 0 0 0 0 0 0 0
"100312948" 0 0 0 0 0 0 0 0 0 0 0 0
"100312949" 0 0 0 0 0 0 0 1 0 0 0 0
"100312956" 1 4 2 7 2 1 3 10 4 1 3 9
"100312986" 1 0 0 0 0 0 0 0 0 1 0 0
"100312987" 4 0 5 4 1 7 3 1 4 1 1 9
"100316903" 4889 1355 4211 3410 1619 2314 3119 8432 3244 2925 3092 13201
"100317" 6782 2683 5041 6491 2931 2778 5177 12485 3838 4041 4144 22005
"100322896" 1 2 0 1 2 0 2 7 0 2 2 12
"100328588" 94 25 64 72 43 51 36 119 106 48 42 210
"100336" 9967 4465 8217 9261 4709 5003 8115 18698 5356 6828 6479 36102
"100340" 1614 618 1142 1234 717 798 1084 2688 751 831 743 5384
"100342" 272 101 465 375 95 100 109 444 160 150 129 1007
"100359413" 19 5 20 11 6 20 18 29 19 21 14 62
"100382" 596 244 383 508 185 258 335 1126 287 320 384 1313
"100383" 5248 2444 4688 5687 2523 2736 3663 9856 2871 3613 3472 17519
"100384868" 2 1 0 3 0 1 0 4 0 4 2 5
"100415785" 9 1 35 9 4 6 8 26 8 10 3 45
"100416706" 1539 586 1207 1441 585 746 1101 2977 854 905 997 4232
"100416830" 0 0 0 0 0 0 0 0 0 0 0 0
"100417125" 1 0 0 0 0 0 0 0 0 0 0 0
"100417434" 0 0 0 0 0 0 0 0 0 0 0 0
"100417514" 38 9 65 48 11 23 25 67 30 23 26 123
"100417675" 121 43 122 78 35 72 85 208 94 90 83 265
"100417829" 975 240 489 438 198 288 422 1503 472 392 459 1799
"100417973" 0 0 0 0 0 0 0 0 0 0 0 0
"100418302" 1 0 0 1 0 0 0 0 0 0 0 0
"100434" 10103 3904 8218 9120 4541 4538 7036 20520 6035 5727 6063 31699
"100463512" 21414 11512 28684 19685 9633 16923 19235 34589 11306 21507 14830 94164
