Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
REGULATION OF NITROGEN COMPOUND METABOLIC PROCESS%GOBP%GO:0051171,0.5837407792538171,1.5781135222817044,0.0,0.10811446014268583,1293,91,237877;329002;235469;56707;235682;217732;60599;76131;231866;382551;114741;242109;193452;240064;243906;240186;72180;242466;56744;228807;98403;15248;20706;620419;20926;66869;72836;319146;628900;431706;319601;22061;238393;75801;271047;12484;238395;67255;93806;50709;18991;22062;238568;246729;383548;22654;545652;11924;20248;240063;245595;214779;54388;27274;78242;18829;20726;21432;76572;20704;100041294;435791;72807;107970;74673;97848;235956;20709;545649;70887;105590;546049;105594;52668;20555;665433;668208;18011;69165;278672;20707;654801;65020;545645;243529;94187;14381;78321;353310;224893;50708,237877;329002;235469;56707;235682;217732;60599;76131;231866;382551;114741;242109;193452;240064;243906;240186;72180;242466;56744;228807;98403;15248;20706;620419;20926;66869;72836;319146
SIGNALING%GOBP%GO:0023052,0.5446038085760254,1.573380378791921,0.011494252873563218,0.1090978447453748,1540,91,215257;237877;76131;320640;56744;258571;258335;15248;319146;436440;320832;213438;22061;331493;258548;258336;258513;230622;623781;258323;19695;258974;257936;12484;22296;246735;22062;195564;18343;258543;237300;66786;239081;258729;259008;259051;69677;258554;545652;258438;54448;18317;243864;258765;258861;16415;258443;18373;57270;258824;258450;257941;258503;259015;18829;258304;17071;57253;113853;230623;329918;258364;258807;74556;195208;258831;435791;494124;258508;80978;387514;545649;258853;259097;52668;258454;668208;18011;258478;257662;27412;100503710;230613;258019;65020;545645;258247;100041546;170639;94187;50780,215257;237877;76131;320640;56744;258571;258335;15248;319146;436440;320832;213438
REGULATION OF CELLULAR METABOLIC PROCESS%GOBP%GO:0031323,0.5837407792538171,1.5834830782467042,0.011764705882352941,0.1096147520365318,1382,91,237877;329002;235469;56707;235682;217732;60599;76131;231866;382551;114741;242109;193452;240064;243906;240186;72180;242466;56744;228807;98403;15248;20706;620419;20926;66869;72836;319146;628900;431706;319601;22061;238393;75801;271047;12484;238395;67255;93806;50709;18991;22062;238568;246729;383548;22654;545652;11924;20248;240063;245595;214779;54388;27274;78242;18829;20726;21432;76572;20704;100041294;435791;72807;107970;74673;97848;235956;20709;545649;70887;105590;546049;105594;52668;20555;665433;668208;18011;69165;278672;20707;654801;65020;545645;243529;94187;14381;78321;353310;224893;50708,237877;329002;235469;56707;235682;217732;60599;76131;231866;382551;114741;242109;193452;240064;243906;240186;72180;242466;56744;228807;98403;15248;20706;620419;20926;66869;72836;319146
GAMETE GENERATION%GOBP%GO:0007276,-0.6941342446855528,-1.4752241928941725,0.02727272727272727,0.11027650714193242,145,20,229227;195434;75801;22446;22445;331416;54388;107970;100039065;100039030;546272;100043216;18011;100042109;627081;27084;574437;27083;22441;70691,70691
REGULATION OF MACROMOLECULE BIOSYNTHETIC PROCESS%GOBP%GO:0010556,0.6306063481271496,1.5788984854685986,0.012658227848101266,0.11060979857200905,859,62,237877;329002;235469;56707;235682;217732;60599;76131;231866;114741;242109;193452;240064;243906;240186;72180;14128;242466;56744;228807;98403;15248;620419;20926;66869;72836;431706;319601;22061;75801;67255;50709;18991;22062;22654;11924;240063;245595;214779;54388;27274;100041294;72807;107970;235956;70887;105590;105594;52668;20555;665433;18011;69165;278672;654801;65020;243529;94187;78321;353310;224893;50708,237877;329002;235469;56707;235682;217732;60599;76131;231866;114741;242109;193452;240064;243906;240186;72180;14128;242466;56744;228807;98403;15248;620419;20926;66869;72836
POSITIVE REGULATION OF MACROMOLECULE METABOLIC PROCESS%GOBP%GO:0010604,0.6761614806459969,1.6376259741943842,0.03488372093023256,0.11142392755558135,766,39,215257;237877;60599;382551;114741;242109;14128;242466;56744;20926;319146;22061;12484;50709;18991;22062;69677;241514;545652;11924;54448;245595;54388;18829;21432;76572;100041294;435791;107970;74673;545649;105590;668208;18011;69165;545645;243529;94187;50708,215257;237877;60599;382551;114741;242109;14128;242466;56744
HEMOPOIESIS%GOBP%GO:0030097,-0.7345662075815722,-1.52867488487653,0.018518518518518517,0.111744031607666,163,20,399568;319146;12484;243958;100041379;244234;546980;218921;545652;214766;15122;435791;20709;545649;668208;68723;654801;545645;14381;70691,70691
REGULATION OF PRIMARY METABOLIC PROCESS%GOBP%GO:0080090,0.5837407792538171,1.5857733076809701,0.011235955056179775,0.1118440147504071,1326,91,237877;329002;235469;56707;235682;217732;60599;76131;231866;382551;114741;242109;193452;240064;243906;240186;72180;242466;56744;228807;98403;15248;20706;620419;20926;66869;72836;319146;628900;431706;319601;22061;238393;75801;271047;12484;238395;67255;93806;50709;18991;22062;238568;246729;383548;22654;545652;11924;20248;240063;245595;214779;54388;27274;78242;18829;20726;21432;76572;20704;100041294;435791;72807;107970;74673;97848;235956;20709;545649;70887;105590;546049;105594;52668;20555;665433;668208;18011;69165;278672;20707;654801;65020;545645;243529;94187;14381;78321;353310;224893;50708,237877;329002;235469;56707;235682;217732;60599;76131;231866;382551;114741;242109;193452;240064;243906;240186;72180;242466;56744;228807;98403;15248;20706;620419;20926;66869;72836;319146
POSITIVE REGULATION OF CELL COMMUNICATION%GOBP%GO:0010647,0.7188964199511851,1.6326894632463738,0.02247191011235955,0.11190873929598026,406,21,215257;60599;382551;15248;213438;22061;331493;73244;12484;22062;210108;69677;22654;54448;18829;195208;546049;18011;27412;170639;94187,215257;60599;382551
REGULATION OF CYTOKINE PRODUCTION%GOBP%GO:0001817,0.7993440669973699,1.6204494869358952,0.03488372093023256,0.11335053434564427,162,15,215257;26888;320640;56744;230622;12484;244202;195564;69677;54448;230623;329918;170779;69165;230613,215257;26888;320640
RESPONSE TO STRESS%GOBP%GO:0006950,0.6896168489675167,1.7672366581971672,0.013157894736842105,0.11344594725334262,763,50,215257;240328;237877;240327;60599;26888;114741;56744;15248;244556;73174;72836;436440;22061;75801;19695;330490;12484;244202;243958;14468;116746;233001;22062;210108;239081;246729;75697;69677;54448;243864;16415;246084;237636;667281;13035;18829;432867;219033;74264;170779;271278;97895;109359;71007;667373;14381;270210;171210;246196,215257;240328;237877;240327;60599;26888
REGULATION OF INTRACELLULAR SIGNAL TRANSDUCTION%GOBP%GO:1902531,0.8312653658962974,1.8117067673043497,0.0,0.11344594725334263,408,22,215257;237877;15248;319146;213438;331493;73244;12484;243958;22062;69677;545652;54448;71406;18829;435791;545649;546049;668208;65020;545645;170639,215257;237877
REGULATION OF RNA METABOLIC PROCESS%GOBP%GO:0051252,0.601994457469566,1.587176973715839,0.06172839506172839,0.11352073034316024,798,59,329002;235469;56707;235682;217732;60599;76131;231866;114741;242109;193452;240064;243906;240186;72180;242466;56744;228807;98403;15248;620419;20926;66869;431706;319601;22061;75801;67255;50709;18991;22062;246729;22654;11924;240063;245595;214779;54388;27274;76572;100041294;72807;107970;235956;70887;105590;105594;52668;20555;665433;278672;654801;65020;243529;94187;78321;353310;224893;50708,329002;235469;56707;235682;217732;60599;76131;231866;114741;242109;193452;240064;243906;240186;72180;242466;56744;228807;98403;15248;620419;20926;66869
REGULATION OF CELLULAR BIOSYNTHETIC PROCESS%GOBP%GO:0031326,0.6277286978247537,1.6417555681662257,0.0,0.11355662622627272,898,61,237877;329002;235469;56707;235682;217732;60599;76131;231866;114741;242109;193452;240064;243906;240186;72180;242466;56744;228807;98403;15248;620419;20926;66869;72836;431706;319601;22061;75801;67255;50709;18991;22062;22654;11924;240063;245595;214779;54388;27274;100041294;72807;107970;235956;70887;105590;105594;52668;20555;665433;18011;69165;278672;654801;65020;243529;94187;78321;353310;224893;50708,237877;329002;235469;56707;235682;217732;60599;76131;231866;114741;242109;193452;240064;243906;240186;72180;242466;56744;228807;98403;15248;620419;20926;66869;72836
REGULATION OF NUCLEIC ACID-TEMPLATED TRANSCRIPTION%GOBP%GO:1903506,0.6039793320486904,1.5952024638034403,0.02531645569620253,0.1138412292995215,737,57,329002;235469;56707;235682;217732;60599;76131;231866;114741;242109;193452;240064;243906;240186;72180;242466;56744;228807;98403;15248;620419;20926;66869;431706;319601;22061;75801;67255;50709;18991;22062;22654;11924;240063;245595;214779;54388;27274;100041294;72807;107970;235956;70887;105590;105594;52668;20555;665433;278672;654801;65020;243529;94187;78321;353310;224893;50708,329002;235469;56707;235682;217732;60599;76131;231866;114741;242109;193452;240064;243906;240186;72180;242466;56744;228807;98403;15248;620419;20926;66869
RESPONSE TO BIOTIC STIMULUS%GOBP%GO:0009607,0.719866580069933,1.5904907936649761,0.025974025974025976,0.11436827202776002,265,26,215257;56744;436440;217304;238393;19695;12484;244202;14468;13088;116746;239081;246729;69677;54448;246084;15122;13035;432867;219033;16639;53973;170779;69165;667373;20556,215257
